Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	group	trait
L2_1	0.1569973221650353	0.2375580819735152	0.0439243276797559	1.5131346108170844	0.2797775597317688	0.0592061349450993	5.187655177244262e-09	3.739513144929183e-09	1.387254162825654	d2	100010
L2_2	0.1624380426692191	0.1691449863775018	0.0371273230122395	1.0412892423355553	0.2285629794730031	0.8568699004923076	-1.630154818421702e-09	3.197425297592234e-09	-0.5098335900604971	d3	100010
L2_3	0.1317141515601244	0.1413817326886891	0.0438389089556898	1.073398196124367	0.3328337041724665	0.8249178647888972	2.253923930222476e-09	5.084058189581241e-09	0.4433316547873983	d8	100010
L2_4	0.1575507380360094	0.1146863091928506	0.0487737608075332	0.7279325417481586	0.3095749433835445	0.3521537484190609	-4.8827531712732404e-09	4.021557642317701e-09	-1.2141447681598356	d6	100010
L2_5	0.1465600900764432	0.2057766003665292	0.0395308664814913	1.4040425347664545	0.2697246328169746	0.1140685144305748	2.325078935879778e-09	3.525223834378281e-09	0.6595549800853527	d1	100010
L2_6	0.1640202853169996	0.1386933912739335	0.0438698975444806	0.8455868187638063	0.2674662921095029	0.5553754312794406	-2.9324895428639244e-09	3.682927153261436e-09	-0.7962388124530356	d4	100010
L2_7	0.1387572450256737	0.1674611881446935	0.042711260729172	1.2068644640048087	0.3078128332777819	0.5037855469825467	4.368670599977272e-09	4.242416884890532e-09	1.0297598558822438	d7	100010
L2_8	0.1601005777567751	0.0969983810638099	0.0419675638717106	0.6058590320090529	0.2621324948337649	0.1017616639221277	-6.330552484108227e-09	3.3590654773412692e-09	-1.8846171730831864	d5	100010
L2_9	0.0855516519522462	0.0662760904510395	0.0302556116102216	0.7746909491360143	0.3536531547878226	0.5111236712833618	-1.338290639568509e-09	4.9726582685541834e-09	-0.2691298229825113	d10	100010
L2_10	0.1078515100838612	0.1201440043157505	0.0385207801061958	1.11397609752827	0.3571649583417378	0.7508221297067683	2.819567272977891e-09	5.3891599221066955e-09	0.5231923553450023	d9	100010
L2_1	0.1569973221650353	0.1238432022709648	0.0393694655682608	0.7888236599397604	0.2507652043063241	0.390989120009234	-4.856965986801899e-09	3.320546994933569e-09	-1.462700571385549	d2	100011_irnt
L2_2	0.1624380426692191	0.175468214227063	0.0409022039721534	1.080216255648794	0.2518018765803815	0.7506502576731755	-4.0186932268323396e-10	3.393694136934313e-09	-0.1184164825903438	d3	100011_irnt
L2_3	0.1317141515601244	0.1493881907533937	0.0439245728169468	1.1341848160119792	0.3334840812218743	0.6886633789073842	1.9642542976405924e-10	4.3464514378716385e-09	0.0451921372116478	d8	100011_irnt
L2_4	0.1575507380360094	0.119311484122227	0.0429341991080032	0.7572892746142353	0.2725103014001134	0.3444836752857365	-4.9626312889020406e-09	3.4493366235535074e-09	-1.4387204933885336	d6	100011_irnt
L2_5	0.1465600900764432	0.1975722799208754	0.0392729618198771	1.3480633084888607	0.2679649132270121	0.1754384233409897	2.4358457623154962e-09	3.277267184671927e-09	0.7432551650680681	d1	100011_irnt
L2_6	0.1640202853169996	0.1063026556012977	0.0463377639011704	0.6481067594526382	0.2825123966320029	0.1721287989566775	-7.081854720330115e-09	3.458568816189856e-09	-2.047625794571254	d4	100011_irnt
L2_7	0.1387572450256737	0.1580014493657092	0.039360697492575	1.1386897263380724	0.2836658906372225	0.6234321641719525	1.3390707781254422e-09	3.880503691447327e-09	0.345076537635248	d7	100011_irnt
L2_8	0.1601005777567751	0.194265628788785	0.0437556432762228	1.2133974249856452	0.2733009704855432	0.4284690080003681	2.022797176440819e-09	3.700881390310669e-09	0.5465717387584302	d5	100011_irnt
L2_9	0.0855516519522462	0.1136398732573059	0.034921721705606	1.3283188654350964	0.4081945924913166	0.4111404802422157	5.979744398693986e-09	5.424871796713818e-09	1.102283081107334	d10	100011_irnt
L2_10	0.1078515100838612	0.0435764682299165	0.0360536794010976	0.4040413360557781	0.3342899823383436	0.0446449639671216	-1.0710605506559325e-08	4.186422910192235e-09	-2.558414602710912	d9	100011_irnt
L2_1	0.1569973221650353	0.1737633940149189	0.0390807094201093	1.106792088034846	0.2489259618009776	0.6670843177117829	-1.7500969754846555e-09	3.7233910966447406e-09	-0.4700277059430367	d2	100017_irnt
L2_2	0.1624380426692191	0.2758424701016063	0.0460297925534633	1.698139583369139	0.2833683033671867	0.0033552426650012	8.525601771556061e-09	3.4821198920309994e-09	2.448394092078023	d3	100017_irnt
L2_3	0.1317141515601244	0.1749259168030728	0.0381511767949933	1.3280723045406646	0.2896513118985409	0.2611960978273747	2.279212194378028e-09	4.367124862112875e-09	0.5219022277451699	d8	100017_irnt
