Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	group	trait
L2_1	0.1414330669589588	0.1907846353523078	0.0429996246458908	1.348939391999962	0.304028086008829	0.2439886964950249	-4.266721218782181e-10	4.458230614259991e-09	-0.0957043631869277	d1	100010
L2_2	0.1552238415381975	0.1592627362635443	0.0392033278191959	1.0260198091048591	0.252559963925057	0.918019529051683	-3.0571637861427806e-09	3.867861901489944e-09	-0.7904014838185217	d2	100010
L2_3	0.1518350709987772	0.1703883658156567	0.0404983711698494	1.1221937375524325	0.2667260660099774	0.6500654931254197	-1.3953608802268555e-09	4.050498131845447e-09	-0.3444911798024001	d3	100010
L2_4	0.1399867039278771	0.1740817306021148	0.0384016892706498	1.2435590360910556	0.2743238335723291	0.37726571410444	5.365641946027185e-10	4.195753991232699e-09	0.1278826632171248	d4	100010
L2_5	0.1340074975352947	0.1786345086432587	0.0390513545656721	1.3330187633435224	0.2914117141497019	0.252665414970333	1.952357997337873e-09	4.122688945000248e-09	0.4735642255294513	d5	100010
L2_6	0.1335780508454815	0.1028067982702481	0.0414652734415921	0.7696384070551495	0.3104198120809362	0.4574669480245102	-4.788932144116578e-09	4.626114285303868e-09	-1.0351953818629052	d6	100010
L2_7	0.1226353801332928	0.1148648703167024	0.0377945363376222	0.936637291716757	0.3081862370919648	0.837347570845681	-2.2990671238729076e-09	4.726515367719069e-09	-0.4864190518822741	d7	100010
L2_8	0.1229873251158038	0.103298233454259	0.038162798195083	0.8399095870813871	0.310298627595561	0.5940986111162152	-3.667620378964816e-09	4.386471167005442e-09	-0.8361209362442085	d8	100010
L2_9	0.1136643058841409	0.1352584771463578	0.0354165505336636	1.1899819920972203	0.3115890275154984	0.5532403132060956	2.2587373950688087e-09	4.796720741772745e-09	0.47089199406552	d9	100010
L2_10	0.099503636792778	0.1120741723252758	0.0318693342224944	1.1263324229915002	0.3202831097406434	0.6944898495599084	2.7476841441368394e-09	4.376290042599028e-09	0.6278569558668972	d10	100010
L2_1	0.1414330669589588	0.1795090185532683	0.0470081196533104	1.2692153427271602	0.3323700791056969	0.4123947015270973	-1.3511572978363075e-10	4.5704363286021195e-09	-0.0295629826277344	d1	100011_irnt
L2_2	0.1552238415381975	0.20390942554108	0.0442999053169546	1.3136475912490673	0.2853936926052262	0.2667720615432403	1.1268107397661632e-09	4.154055928004799e-09	0.2712555534386781	d2	100011_irnt
L2_3	0.1518350709987772	0.2499760811906634	0.0525016480984995	1.6463658859992665	0.3457807722098829	0.0492952623592086	5.383795986369209e-09	4.690892480233563e-09	1.1477125107973367	d3	100011_irnt
L2_4	0.1399867039278771	0.0711974547525778	0.0446581799991093	0.5086015511105946	0.3190172976864844	0.0882659301109714	-1.0869178130242484e-08	4.068275005793194e-09	-2.671692084425181	d4	100011_irnt
L2_5	0.1340074975352947	0.1430003122580001	0.0393417819749163	1.0671068028886734	0.2935789616141035	0.820027450672107	-2.5593074298695402e-09	4.199366107145852e-09	-0.6094508943896303	d5	100011_irnt
L2_6	0.1335780508454815	0.124193664181275	0.0352177297650147	0.9297460428205976	0.2636490766417411	0.7882499518425159	-4.123743344560397e-09	3.7883031411460874e-09	-1.0885462939253665	d6	100011_irnt
L2_7	0.1226353801332928	0.1854226866960986	0.0390651475105323	1.5119836257249906	0.3185471229271055	0.1027620396976952	4.627022250260607e-09	4.179060574360072e-09	1.1071919556871055	d7	100011_irnt
L2_8	0.1229873251158038	0.1183326036332612	0.0363443522319512	0.9621528358458102	0.2955129904462083	0.8978894781148232	-3.9954943169737445e-09	4.300171608333214e-09	-0.9291476436035618	d8	100011_irnt
L2_9	0.1136643058841409	0.1294865243821427	0.0357538781291623	1.139201294328313	0.3145567806097949	0.6560709121386941	-7.819703770462166e-10	4.507182607512867e-09	-0.1734942746146511	d9	100011_irnt
L2_10	0.099503636792778	0.1158731130677794	0.0351776131982185	1.16451133649609	0.3535309294420858	0.6362672015909232	1.2364451151901203e-09	4.501502115097882e-09	0.27467389408596	d10	100011_irnt
L2_1	0.1414330669589588	0.1995023054718822	0.043587118939892	1.410577524489192	0.308181954030172	0.1790875188282925	1.2477733583846004e-09	4.817443627678573e-09	0.2590115120840297	d1	100017_irnt
L2_2	0.1552238415381975	0.2371402771517966	0.044604652482774	1.5277310160723032	0.2873569681098104	0.0463747785970263	4.0425688857612695e-09	4.41342945381084e-09	0.915969979370726	d2	100017_irnt
