species	common_name	Species_Taxonomy_ID	lineage	div.time	evo.time	assembly_name	NCBIcode	contig_N50_bp	scaffold_N50_bp	Intact	partially_intact	uncertain_loss	lost	missing	complete_single_copy_or_duplicated	perc_complete	fragmented	missing	complete_single_copy_or_duplicated2	%_complete2	fragmented2	missing2	with_human_reference	with_mouse_reference
Acinonyx_jubatus	cheetah	32536	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Acinonychinae; Acinonyx	94	0.34132	HLaciJub2	GCF_003709585.1	179924	48500042	17108	315	526	316	165	8834	0.957511381	120	272	9183	0.995339259	18	25	18540	18555
Acomys_cahirinus	Egyptian spiny mouse	10068	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys	89	0.52314	HLacoCah1	GCA_004027535.1	42476	65411	15200	1550	453	604	623	6750	0.731628008	960	1516	8865	0.96087145	155	206	17656	20823
Acomys_russatus	golden spiny mouse	60746	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys	89	0.520671	HLacoRus1	GCA_903995435.1	4450755	66475698	16826	115	785	597	107	8902	0.964881856	61	263	9164	0.993279861	18	44	18257	21069
Aeorestes_cinereus	hoary bat	257879	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Aeorestes	94	0.43398	HLaeoCin1	GCA_011751065.1	120638	35075546	15443	940	572	806	669	8579	0.929872101	181	466	8870	0.961413397	120	236	17392	17259
Aepyceros_melampus	impala	9897	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Aepycerotinae; Aepyceros	94	0.411676	HLaepMel1	GCA_006408695.1	82459	344542	5253	1278	8813	2178	908	6971	0.755582051	897	1358	8606	0.932798613	328	292	15814	15530
Ailuropoda_melanoleuca	giant panda	9646	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ailuropoda	94	0.346678	HLailMel2	GCF_002007445.1	127363	129245720	15747	961	1053	382	287	8747	0.948081509	143	336	9069	0.982982874	80	77	18359	18491
Ailurus_fulgens	lesser panda	9649	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ailuridae; Ailurus	94	0.367305	HLailFul2	DNA Zoo Consortium	97931	143796361	15230	1612	569	294	725	8724	0.945588554	152	350	9015	0.97712985	117	94	17994	17923
Alces_alces	Eurasian elk	9852	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Alces	94	0.41143	HLalcAlc1	GCA_007570765.1	45090	4131188	14803	2204	696	422	305	8247	0.893886842	374	605	8648	0.937350965	315	263	18265	18232
Allactaga_bullata	Gobi jerboa	1041416	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Allactaginae; Allactaga	89	0.43012	HLallBul1	GCA_004027895.1	30651	36308	13241	2956	579	681	973	5606	0.607630609	1237	2383	8326	0.902449599	376	524	17222	18077
Allenopithecus_nigroviridis	Allen's swamp monkey	54135	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Allenopithecus	29	0.0714131	HLallNig1	DNA Zoo Consortium	47878	115073448	15363	2301	299	297	170	8227	0.891719055	416	583	8595	0.93160633	369	262	18817	18307
